timestamp;status;request_time;upstream_response_time
1519327386.191;200;0.029;0.029
1519327386.215;200;0.043;0.043
1519327386.215;200;0.048;0.048
1519327386.216;200;0.039;0.039
1519327386.246;200;0.034;0.034
1519327386.246;200;0.028;0.028
1519327386.266;200;0.044;0.044
1519327386.266;200;0.038;0.038
1519327386.308;200;0.046;0.046
1519327386.317;200;0.050;0.050
1519327386.318;200;0.045;0.045
1519327386.318;200;0.040;0.040
1519327386.355;200;0.042;0.042
1519327386.354;200;0.036;0.036
1519327386.365;200;0.042;0.042
1519327386.365;200;0.037;0.037
1519327386.401;200;0.039;0.039
1519327386.401;200;0.032;0.032
1519327386.421;200;0.049;0.049
1519327386.421;200;0.044;0.044
1519327386.488;200;0.076;0.076
1519327386.487;200;0.065;0.065
1519327386.488;200;0.059;0.059
1519327386.487;200;0.070;0.070
1519327386.518;200;0.029;0.029
1519327386.518;200;0.029;0.029
1519327386.538;200;0.049;0.049
1519327386.538;200;0.049;0.049
1519327386.566;200;0.038;0.038
1519327386.565;200;0.047;0.047
1519327386.587;200;0.049;0.049
1519327386.588;200;0.050;0.050
1519327386.612;200;0.044;0.044
1519327386.612;200;0.034;0.034
1519327386.632;200;0.044;0.044
1519327386.632;200;0.044;0.044
1519327386.665;200;0.048;0.048
1519327386.665;200;0.037;0.037
1519327386.669;200;0.037;0.037
1519327386.678;200;0.046;0.046
1519327386.705;200;0.033;0.033
1519327386.705;200;0.026;0.026
1519327386.705;200;0.038;0.038
1519327386.716;200;0.037;0.037
1519327386.746;200;0.034;0.034
1519327386.746;200;0.028;0.028
1519327386.766;200;0.043;0.043
1519327386.766;200;0.037;0.037
1519327386.796;200;0.028;0.028
1519327386.796;200;0.033;0.033
1519327386.816;200;0.038;0.038
1519327386.816;200;0.043;0.043
1519327386.846;200;0.033;0.033
1519327386.846;200;0.028;0.028
1519327386.867;200;0.039;0.039
1519327386.867;200;0.044;0.044
1519327386.889;200;0.026;0.026
1519327386.904;200;0.031;0.031
1519327386.904;200;0.036;0.036
1519327386.916;200;0.038;0.038
1519327386.945;200;0.027;0.027
1519327386.945;200;0.032;0.032
1519327386.964;200;0.041;0.041
1519327386.964;200;0.036;0.036
1519327387.013;200;0.051;0.051
1519327387.014;200;0.045;0.045
1519327387.034;200;0.062;0.062
1519327387.034;200;0.056;0.056
1519327387.059;200;0.042;0.042
1519327387.070;200;0.036;0.036
1519327387.072;200;0.058;0.058
1519327387.081;200;0.047;0.047
1519327387.101;200;0.032;0.032
1519327387.101;200;0.029;0.029
1519327387.120;200;0.042;0.042
1519327387.121;200;0.040;0.040
1519327387.151;200;0.033;0.033
1519327387.151;200;0.038;0.038
1519327387.171;200;0.048;0.048
1519327387.171;200;0.043;0.043
1519327387.201;200;0.028;0.028
1519327387.201;200;0.033;0.033
1519327387.201;200;0.039;0.039
1519327387.211;200;0.033;0.033
1519327387.237;200;0.025;0.025
1519327387.242;200;0.025;0.025
1519327387.255;200;0.032;0.032
1519327387.266;200;0.038;0.038
1519327387.289;200;0.027;0.027
1519327387.309;200;0.036;0.036
1519327387.309;200;0.032;0.032
1519327387.309;200;0.040;0.040
1519327387.341;200;0.024;0.024
1519327387.341;200;0.029;0.029
1519327387.361;200;0.037;0.037
1519327387.361;200;0.033;0.033
1519327387.393;200;0.031;0.031
1519327387.393;200;0.025;0.025
1519327387.417;200;0.044;0.044
1519327387.417;200;0.039;0.039
1519327387.442;200;0.030;0.030
1519327387.443;200;0.025;0.025
1519327387.460;200;0.037;0.037
1519327387.460;200;0.032;0.032
1519327387.501;200;0.033;0.033
1519327387.501;200;0.037;0.037
1519327387.521;200;0.048;0.048
1519327387.521;200;0.043;0.043
1519327387.547;200;0.035;0.035
1519327387.608;200;0.086;0.086
1519327387.608;200;0.091;0.091
1519327387.608;200;0.080;0.080
1519327387.631;200;0.069;0.069
1519327387.671;200;0.063;0.063
1519327387.671;200;0.062;0.062
1519327387.671;200;0.062;0.062
1519327387.677;200;0.046;0.046
1519327387.694;200;0.023;0.023
1519327387.711;200;0.040;0.040
1519327387.714;200;0.037;0.037
1519327387.720;200;0.049;0.049
1519327387.740;200;0.029;0.029
1519327387.740;200;0.046;0.046
1519327387.760;200;0.040;0.040
1519327387.760;200;0.046;0.046
1519327387.790;200;0.050;0.050
1519327387.790;200;0.028;0.028
1519327387.790;200;0.050;0.050
1519327387.800;200;0.040;0.040
1519327387.820;200;0.030;0.030
1519327387.821;200;0.031;0.031
1519327387.831;200;0.031;0.031
1519327387.860;200;0.037;0.037
1519327387.861;200;0.048;0.048
1519327387.881;200;0.050;0.050
1519327387.881;200;0.053;0.053
1519327387.907;200;0.034;0.034
1519327387.947;200;0.085;0.085
1519327387.947;200;0.066;0.066
1519327387.948;200;0.067;0.067
1519327387.971;200;0.048;0.048
1519327388.004;200;0.057;0.057
1519327388.004;200;0.056;0.056
1519327388.004;200;0.057;0.057
1519327388.033;200;0.060;0.060
1519327388.055;200;0.050;0.050
1519327388.055;200;0.050;0.050
1519327388.055;200;0.050;0.050
1519327388.100;200;0.045;0.045
1519327388.101;200;0.067;0.067
1519327388.101;200;0.046;0.046
1519327388.110;200;0.055;0.055
1519327388.130;200;0.029;0.029
1519327388.131;200;0.030;0.030
1519327388.151;200;0.050;0.050
1519327388.151;200;0.040;0.040
1519327388.173;200;0.042;0.042
1519327388.193;200;0.062;0.062
1519327388.193;200;0.042;0.042
1519327388.201;200;0.050;0.050
1519327388.221;200;0.048;0.048
1519327388.221;200;0.028;0.028
1519327388.241;200;0.040;0.040
1519327388.241;200;0.048;0.048
1519327388.267;200;0.044;0.044
1519327388.268;200;0.047;0.047
1519327388.288;200;0.047;0.047
1519327388.287;200;0.046;0.046
1519327388.317;200;0.029;0.029
1519327388.318;200;0.046;0.046
1519327388.340;200;0.052;0.052
1519327388.339;200;0.071;0.071
1519327388.364;200;0.041;0.041
1519327388.365;200;0.037;0.037
1519327388.384;200;0.044;0.044
1519327388.385;200;0.045;0.045
1519327388.413;200;0.028;0.028
1519327388.413;200;0.035;0.035
1519327388.433;200;0.048;0.048
1519327388.433;200;0.060;0.060
1519327388.464;200;0.047;0.047
1519327388.464;200;0.036;0.036
1519327388.482;200;0.049;0.049
1519327388.482;200;0.049;0.049
1519327388.509;200;0.040;0.040
1519327388.509;200;0.031;0.031
1519327388.529;200;0.047;0.047
1519327388.529;200;0.047;0.047
1519327388.532;503;0.003;0.003
1519327388.552;200;0.024;0.024
1519327388.589;200;0.072;0.072
1519327388.589;503;0.016;0.016
1519327388.587;200;0.058;0.058
