timestamp;status;request_time;upstream_response_time
1519327529.250;200;0.036;0.036
1519327529.250;200;0.031;0.031
1519327529.250;200;0.026;0.026
1519327529.260;200;0.031;0.031
1519327529.312;200;0.048;0.048
1519327529.313;200;0.044;0.044
1519327529.313;200;0.035;0.035
1519327529.323;200;0.043;0.043
1519327529.343;200;0.028;0.028
1519327529.343;200;0.024;0.024
1519327529.353;200;0.027;0.027
1519327529.364;200;0.033;0.033
1519327529.387;200;0.023;0.023
1519327529.411;200;0.036;0.036
1519327529.411;200;0.041;0.041
1519327529.412;200;0.032;0.032
1519327529.443;200;0.023;0.023
1519327529.443;200;0.028;0.028
1519327529.463;200;0.034;0.034
1519327529.463;200;0.039;0.039
1519327529.492;200;0.028;0.028
1519327529.505;200;0.036;0.036
1519327529.505;200;0.031;0.031
1519327529.514;200;0.033;0.033
1519327529.538;200;0.024;0.024
1519327529.557;200;0.037;0.037
1519327529.557;200;0.027;0.027
1519327529.567;200;0.041;0.041
1519327529.600;200;0.036;0.036
1519327529.604;200;0.035;0.035
1519327529.620;200;0.040;0.040
1519327529.620;200;0.046;0.046
1519327529.654;200;0.034;0.034
1519327529.654;200;0.040;0.040
1519327529.664;200;0.039;0.039
1519327529.675;200;0.045;0.045
1519327529.714;200;0.045;0.045
1519327529.714;200;0.050;0.050
1519327529.734;200;0.059;0.059
1519327529.735;200;0.055;0.055
1519327529.777;200;0.056;0.056
1519327529.777;200;0.042;0.042
1519327529.777;200;0.062;0.062
1519327529.786;200;0.051;0.051
1519327529.806;200;0.029;0.029
1519327529.806;200;0.029;0.029
1519327529.826;200;0.040;0.040
1519327529.826;200;0.045;0.045
1519327529.854;200;0.028;0.028
1519327529.854;200;0.034;0.034
1519327529.874;200;0.045;0.045
1519327529.874;200;0.060;0.060
1519327529.900;200;0.030;0.030
1519327529.940;200;0.065;0.065
1519327529.940;200;0.065;0.065
1519327529.941;200;0.061;0.061
1519327529.988;200;0.047;0.047
1519327529.988;200;0.047;0.047
1519327529.988;200;0.068;0.068
1519327529.988;200;0.047;0.047
1519327530.016;200;0.027;0.027
1519327530.017;200;0.028;0.028
1519327530.037;200;0.049;0.049
1519327530.037;200;0.049;0.049
1519327530.063;200;0.033;0.033
1519327530.063;200;0.044;0.044
1519327530.083;200;0.046;0.046
1519327530.084;200;0.047;0.047
1519327530.109;200;0.029;0.029
1519327530.109;200;0.039;0.039
1519327530.129;200;0.045;0.045
1519327530.129;200;0.045;0.045
1519327530.158;200;0.028;0.028
1519327530.158;200;0.039;0.039
1519327530.178;200;0.048;0.048
1519327530.178;200;0.048;0.048
1519327530.218;200;0.039;0.039
1519327530.219;200;0.041;0.041
1519327530.218;200;0.049;0.049
1519327530.228;200;0.047;0.047
1519327530.269;200;0.044;0.044
1519327530.269;200;0.050;0.050
1519327530.269;200;0.050;0.050
1519327530.269;200;0.039;0.039
1519327530.298;200;0.029;0.029
1519327530.298;200;0.029;0.029
1519327530.318;200;0.044;0.044
1519327530.318;200;0.038;0.038
1519327530.362;200;0.048;0.048
1519327530.362;200;0.041;0.041
1519327530.382;200;0.058;0.058
1519327530.382;200;0.053;0.053
1519327530.415;200;0.051;0.051
1519327530.417;200;0.048;0.048
1519327530.434;200;0.052;0.052
1519327530.434;200;0.052;0.052
1519327530.489;200;0.055;0.055
1519327530.489;200;0.072;0.072
1519327530.489;200;0.055;0.055
1519327530.489;200;0.070;0.070
1519327530.518;200;0.028;0.028
1519327530.518;200;0.028;0.028
1519327530.538;200;0.048;0.048
1519327530.538;200;0.048;0.048
1519327530.605;200;0.085;0.085
1519327530.605;200;0.067;0.067
1519327530.605;200;0.067;0.067
1519327530.605;200;0.087;0.087
1519327530.668;200;0.063;0.063
1519327530.668;200;0.063;0.063
1519327530.668;200;0.063;0.063
1519327530.668;200;0.063;0.063
1519327530.701;200;0.033;0.033
1519327530.703;200;0.034;0.034
1519327530.716;200;0.048;0.048
1519327530.716;200;0.048;0.048
1519327530.750;200;0.049;0.049
1519327530.750;200;0.034;0.034
1519327530.750;200;0.046;0.046
1519327530.760;200;0.044;0.044
1519327530.800;200;0.050;0.050
1519327530.800;200;0.050;0.050
1519327530.800;200;0.050;0.050
1519327530.801;200;0.041;0.041
1519327530.838;200;0.037;0.037
1519327530.838;200;0.037;0.037
1519327530.857;200;0.056;0.056
1519327530.858;200;0.057;0.057
1519327530.886;200;0.028;0.028
1519327530.886;200;0.048;0.048
1519327530.906;200;0.068;0.068
1519327530.907;200;0.049;0.049
1519327530.928;200;0.042;0.042
1519327530.928;200;0.042;0.042
1519327530.943;200;0.036;0.036
1519327530.944;200;0.037;0.037
1519327530.980;200;0.052;0.052
1519327530.979;200;0.051;0.051
1519327530.998;200;0.053;0.053
1519327530.998;200;0.053;0.053
1519327531.022;200;0.041;0.041
1519327531.060;200;0.079;0.079
1519327531.060;200;0.062;0.062
1519327531.060;200;0.062;0.062
1519327531.070;200;0.048;0.048
1519327531.110;200;0.050;0.050
1519327531.110;200;0.049;0.049
1519327531.110;200;0.040;0.040
1519327531.111;200;0.051;0.051
1519327531.153;200;0.033;0.033
1519327531.153;200;0.042;0.042
1519327531.153;200;0.042;0.042
1519327531.164;200;0.053;0.053
1519327531.183;200;0.030;0.030
1519327531.183;200;0.030;0.030
1519327531.213;200;0.029;0.029
1519327531.214;200;0.050;0.050
1519327531.214;200;0.044;0.044
1519327531.224;200;0.040;0.040
1519327531.245;200;0.026;0.026
1519327531.245;200;0.031;0.031
1519327531.264;200;0.034;0.034
1519327531.264;200;0.040;0.040
1519327531.294;200;0.048;0.048
1519327531.294;200;0.030;0.030
1519327531.314;200;0.044;0.044
1519327531.314;200;0.034;0.034
1519327531.324;200;0.030;0.030
1519327531.344;200;0.024;0.024
1519327531.344;200;0.030;0.030
1519327531.364;200;0.035;0.035
1519327531.364;200;0.040;0.040
1519327531.403;200;0.038;0.038
1519327531.413;200;0.043;0.043
1519327531.413;200;0.033;0.033
1519327531.413;200;0.038;0.038
1519327531.446;200;0.032;0.032
1519327531.446;200;0.026;0.026
1519327531.466;200;0.036;0.036
1519327531.466;200;0.041;0.041
1519327531.492;200;0.028;0.028
1519327531.504;200;0.029;0.029
1519327531.504;200;0.034;0.034
1519327531.515;200;0.035;0.035
1519327531.537;200;0.023;0.023
1519327531.555;200;0.035;0.035
1519327531.555;200;0.030;0.030
1519327531.565;200;0.036;0.036
1519327531.592;200;0.027;0.027
1519327531.593;200;0.024;0.024
1519327531.598;200;0.023;0.023
1519327531.608;200;0.028;0.028
1519327531.642;200;0.028;0.028
1519327531.663;200;0.042;0.042
1519327531.663;200;0.034;0.034
1519327531.673;200;0.048;0.048
1519327531.711;200;0.036;0.036
1519327531.711;200;0.042;0.042
1519327531.713;200;0.048;0.048
1519327531.713;200;0.033;0.033
1519327531.754;200;0.040;0.040
1519327531.754;200;0.033;0.033
1519327531.774;200;0.044;0.044
1519327531.774;200;0.049;0.049
1519327531.822;200;0.053;0.053
1519327531.822;200;0.047;0.047
1519327531.822;200;0.042;0.042
1519327531.822;200;0.058;0.058
1519327531.864;200;0.042;0.042
1519327531.884;200;0.062;0.062
1519327531.884;200;0.054;0.054
1519327531.884;200;0.060;0.060
1519327531.912;200;0.028;0.028
1519327531.912;200;0.043;0.043
1519327531.932;200;0.048;0.048
1519327531.932;200;0.048;0.048
1519327531.953;200;0.023;0.023
1519327531.988;200;0.068;0.068
1519327531.989;200;0.057;0.057
1519327531.989;200;0.057;0.057
1519327532.028;200;0.048;0.048
1519327532.028;200;0.040;0.040
1519327532.048;200;0.059;0.059
1519327532.048;200;0.059;0.059
1519327532.074;200;0.044;0.044
1519327532.114;200;0.086;0.086
1519327532.114;200;0.066;0.066
1519327532.114;200;0.066;0.066
1519327532.124;200;0.044;0.044
1519327532.164;200;0.049;0.049
1519327532.164;200;0.050;0.050
1519327532.164;200;0.034;0.034
1519327532.164;200;0.050;0.050
1519327532.189;200;0.025;0.025
1519327532.190;200;0.025;0.025
1519327532.202;200;0.038;0.038
1519327532.215;200;0.035;0.035
1519327532.215;200;0.025;0.025
1519327532.225;200;0.035;0.035
