id,created_time,latency,service_time,done,times_forwarded
1,0.0125,0.024000000000000004,0.024,True,1
0,0,0.044,0.044,True,1
2,0.025,0.028000000000000004,0.028,True,1
3,0.037500000000000006,0.045,0.045,True,1
4,0.05,0.040999999999999995,0.041,True,1
6,0.075,0.033,0.033,True,1
5,0.0625,0.05499999999999999,0.055,True,1
7,0.0875,0.033,0.033,True,1
9,0.11249999999999999,0.027999999999999997,0.028,True,1
8,0.09999999999999999,0.059999999999999984,0.06,True,1
10,0.12499999999999999,0.039999999999999994,0.04,True,1
11,0.13749999999999998,0.05000000000000002,0.05,True,1
12,0.15,0.04600000000000001,0.046,True,1
14,0.17500000000000002,0.025999999999999995,0.026,True,1
13,0.1625,0.04100000000000001,0.041,True,1
15,0.18750000000000003,0.04200000000000001,0.042,True,1
16,0.20000000000000004,0.04300000000000001,0.043,True,1
18,0.22500000000000006,0.026999999999999996,0.027,True,1
17,0.21250000000000005,0.05300000000000002,0.053,True,1
19,0.23750000000000007,0.04400000000000001,0.044,True,1
20,0.25000000000000006,0.04999999999999999,0.05,True,1
21,0.26250000000000007,0.03999999999999998,0.04,True,1
22,0.2750000000000001,0.03799999999999998,0.038,True,1
23,0.2875000000000001,0.04099999999999998,0.041,True,1
24,0.3000000000000001,0.046999999999999986,0.047,True,1
25,0.3125000000000001,0.03799999999999998,0.038,True,1
26,0.3250000000000001,0.04999999999999999,0.05,True,1
27,0.33750000000000013,0.04999999999999999,0.05,True,1
29,0.36250000000000016,0.026000000000000023,0.026,True,1
28,0.35000000000000014,0.04299999999999998,0.043,True,1
30,0.37500000000000017,0.025000000000000022,0.025,True,1
32,0.4000000000000002,0.03999999999999998,0.04,True,1
31,0.3875000000000002,0.05399999999999999,0.054,True,1
34,0.4250000000000002,0.04099999999999998,0.041,True,1
35,0.4375000000000002,0.03400000000000003,0.034,True,1
33,0.4125000000000002,0.061,0.061,True,1
37,0.46250000000000024,0.03500000000000003,0.035,True,1
39,0.48750000000000027,0.028000000000000025,0.028,True,1
36,0.45000000000000023,0.066,0.066,True,1
38,0.47500000000000026,0.043999999999999984,0.044,True,1
40,0.5000000000000002,0.03600000000000003,0.036,True,1
42,0.5250000000000001,0.041000000000000036,0.041,True,1
41,0.5125000000000002,0.05600000000000005,0.056,True,1
43,0.5375000000000001,0.04600000000000004,0.046,True,1
45,0.5625,0.041000000000000036,0.041,True,1
46,0.575,0.029000000000000026,0.029,True,1
44,0.55,0.06600000000000006,0.066,True,1
47,0.5874999999999999,0.039000000000000035,0.039,True,1
49,0.6124999999999998,0.030000000000000027,0.03,True,1
50,0.6249999999999998,0.025000000000000022,0.025,True,1
48,0.5999999999999999,0.05700000000000005,0.057,True,1
51,0.6374999999999997,0.038000000000000034,0.038,True,1
52,0.6499999999999997,0.03300000000000003,0.033,True,1
53,0.6624999999999996,0.041000000000000036,0.041,True,1
56,0.6999999999999995,0.027000000000000024,0.027,True,1
55,0.6874999999999996,0.04300000000000004,0.043,True,1
54,0.6749999999999996,0.06899999999999995,0.069,True,1
57,0.7124999999999995,0.05600000000000005,0.056,True,1
58,0.7249999999999994,0.049000000000000044,0.049,True,1
60,0.7499999999999993,0.03400000000000003,0.034,True,1
59,0.7374999999999994,0.06299999999999994,0.063,True,1
62,0.7749999999999992,0.03600000000000003,0.036,True,1
63,0.7874999999999992,0.03200000000000003,0.032,True,1
61,0.7624999999999993,0.07399999999999995,0.074,True,1
64,0.7999999999999992,0.039000000000000035,0.039,True,1
65,0.8124999999999991,0.03600000000000003,0.036,True,1
66,0.8249999999999991,0.04800000000000004,0.048,True,1
69,0.8624999999999989,0.03500000000000003,0.035,True,1
68,0.849999999999999,0.049000000000000044,0.049,True,1
67,0.837499999999999,0.06600000000000006,0.066,True,1
70,0.8749999999999989,0.04800000000000004,0.048,True,1
71,0.8874999999999988,0.041000000000000036,0.041,True,1
72,0.8999999999999988,0.03700000000000003,0.037,True,1
74,0.9249999999999987,0.03700000000000003,0.037,True,1
75,0.9374999999999987,0.028000000000000025,0.028,True,1
73,0.9124999999999988,0.05800000000000005,0.058,True,1
77,0.9624999999999986,0.03600000000000003,0.036,True,1
76,0.9499999999999986,0.06800000000000006,0.068,True,1
78,0.9749999999999985,0.04499999999999993,0.045,True,1
79,0.9874999999999985,0.03400000000000003,0.034,True,1
80,0.9999999999999984,0.04600000000000004,0.046,True,1
81,1.0124999999999984,0.03499999999999992,0.035,True,1
82,1.0249999999999984,0.040000000000000036,0.04,True,1
85,1.0624999999999982,0.026000000000000023,0.026,True,1
84,1.0499999999999983,0.04200000000000004,0.042,True,1
86,1.0749999999999982,0.030000000000000027,0.03,True,1
83,1.0374999999999983,0.08299999999999996,0.083,True,1
87,1.0874999999999981,0.038000000000000034,0.038,True,1
89,1.112499999999998,0.026999999999999913,0.027,True,1
88,1.099999999999998,0.040999999999999925,0.041,True,1
90,1.124999999999998,0.03699999999999992,0.037,True,1
91,1.137499999999998,0.05499999999999994,0.055,True,1
92,1.149999999999998,0.04499999999999993,0.045,True,1
93,1.1624999999999979,0.04400000000000004,0.044,True,1
95,1.1874999999999978,0.03299999999999992,0.033,True,1
96,1.1999999999999977,0.04299999999999993,0.043,True,1
98,1.2249999999999976,0.02499999999999991,0.025,True,1
94,1.1749999999999978,0.07699999999999996,0.077,True,1
97,1.2124999999999977,0.04200000000000004,0.042,True,1
100,1.2499999999999976,0.04499999999999993,0.045,True,1
99,1.2374999999999976,0.05800000000000005,0.058,True,1
101,1.2624999999999975,0.040999999999999925,0.041,True,1
102,1.2749999999999975,0.04899999999999993,0.049,True,1
103,1.2874999999999974,0.03699999999999992,0.037,True,1
105,1.3124999999999973,0.03699999999999992,0.037,True,1
106,1.3249999999999973,0.028000000000000025,0.028,True,1
104,1.2999999999999974,0.06400000000000006,0.064,True,1
108,1.3499999999999972,0.03600000000000003,0.036,True,1
107,1.3374999999999972,0.05600000000000005,0.056,True,1
109,1.3624999999999972,0.03499999999999992,0.035,True,1
111,1.387499999999997,0.038000000000000034,0.038,True,1
110,1.3749999999999971,0.05699999999999994,0.057,True,1
113,1.412499999999997,0.028999999999999915,0.029,True,1
112,1.399999999999997,0.04699999999999993,0.047,True,1
114,1.424999999999997,0.052000000000000046,0.052,True,1
115,1.437499999999997,0.04699999999999993,0.047,True,1
116,1.4499999999999968,0.03600000000000003,0.036,True,1
117,1.4624999999999968,0.038000000000000034,0.038,True,1
118,1.4749999999999968,0.04299999999999993,0.043,True,1
120,1.4999999999999967,0.028999999999999915,0.029,True,1
119,1.4874999999999967,0.05499999999999994,0.055,True,1
121,1.5124999999999966,0.04200000000000004,0.042,True,1
122,1.5249999999999966,0.03400000000000003,0.034,True,1
123,1.5374999999999965,0.04800000000000004,0.048,True,1
125,1.5624999999999964,0.028000000000000025,0.028,True,1
124,1.5499999999999965,0.06000000000000005,0.06,True,1
126,1.5749999999999964,0.040000000000000036,0.04,True,1
127,1.5874999999999964,0.038000000000000034,0.038,True,1
128,1.5999999999999963,0.03600000000000003,0.036,True,1
129,1.6124999999999963,0.04800000000000004,0.048,True,1
130,1.6249999999999962,0.04499999999999993,0.045,True,1
